folder,filename,description,source,source_url,published,lines_last_redrawn,features,missing_on_disk
states/la/county_subdivisions,county_subdivisions_2025.geojson,"Louisiana: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 576 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_22_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),576,
states/la/municipalities,municipal_boundaries_2025.geojson,Louisiana: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 484 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_22_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),484,
states/la/school_districts,unified_school_districts_2025.geojson,Louisiana: unified (K-12) school district boundaries (TIGER UNSD). 69 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_22_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),69,
states/la/state_house_districts,state_house_districts_2025.geojson,"Louisiana: State house of representatives districts, TIGER SLDL (lower chamber). 105 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDL/tl_2025_22_sldl.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,105,
states/la/state_senate_districts,state_senate_districts_2025.geojson,"Louisiana: State senate districts, TIGER SLDU (upper chamber). 40 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDU/tl_2025_22_sldu.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,40,
states/ma/county_subdivisions,county_subdivisions_2025.geojson,"Massachusetts: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 357 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_25_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),357,
states/ma/municipalities,municipal_boundaries_2025.geojson,Massachusetts: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 248 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_25_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),248,
states/ma/school_districts,community_school_districts_2025.geojson,Massachusetts: community school district boundaries (TIGER SCSD). 30 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SCSD/tl_2025_25_scsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),30,
states/ma/school_districts,elementary_school_districts_2025.geojson,Massachusetts: elementary school district boundaries (TIGER ELSD). 64 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/ELSD/tl_2025_25_elsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),64,
states/ma/school_districts,unified_school_districts_2025.geojson,Massachusetts: unified (K-12) school district boundaries (TIGER UNSD). 212 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_25_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),212,
states/ma/state_house_districts,state_house_districts_2025.geojson,"Massachusetts: State house of representatives districts, TIGER SLDL (lower chamber). 161 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDL/tl_2025_25_sldl.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,161,
states/ma/state_senate_districts,state_senate_districts_2025.geojson,"Massachusetts: State senate districts, TIGER SLDU (upper chamber). 40 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDU/tl_2025_25_sldu.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,40,
states/md/county_subdivisions,county_subdivisions_2025.geojson,"Maryland: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 290 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_24_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),290,
states/md/municipalities,municipal_boundaries_2025.geojson,Maryland: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 536 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_24_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),536,
states/md/school_districts,unified_school_districts_2025.geojson,Maryland: unified (K-12) school district boundaries (TIGER UNSD). 24 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_24_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),24,
states/md/state_house_districts,state_house_districts_2025.geojson,"Maryland state house districts (TIGER SLDL 2025). CAUTION: file contains only 71 of the 93 house districts in effect 2012-2026 (Census artifact) — do NOT use as complete coverage. 2022 redistricting plan (105 house / 51 senate, effective 2026) not yet sourced (mdplanning AGL WAF-blocked).",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDL/tl_2025_24_sldl.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,71,
states/md/state_senate_districts,state_senate_districts_2025.geojson,"Maryland: State senate districts, TIGER SLDU (upper chamber). 47 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDU/tl_2025_24_sldu.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,47,
states/me/county_subdivisions,county_subdivisions_2025.geojson,"Maine: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 529 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_23_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),529,
states/me/municipalities,municipal_boundaries_2025.geojson,Maine: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 155 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_23_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),155,
states/me/school_districts,community_school_districts_2025.geojson,Maine: community school district boundaries (TIGER SCSD). 6 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SCSD/tl_2025_23_scsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),6,
states/me/school_districts,elementary_school_districts_2025.geojson,Maine: elementary school district boundaries (TIGER ELSD). 13 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/ELSD/tl_2025_23_elsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),13,
states/me/school_districts,unified_school_districts_2025.geojson,Maine: unified (K-12) school district boundaries (TIGER UNSD). 248 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_23_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),248,
states/me/state_house_districts,state_house_districts_2025.geojson,"Maine: State house of representatives districts, TIGER SLDL (lower chamber). 151 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDL/tl_2025_23_sldl.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,151,
states/me/state_senate_districts,state_senate_districts_2025.geojson,"Maine: State senate districts, TIGER SLDU (upper chamber). 35 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDU/tl_2025_23_sldu.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,35,
states/mi/county_subdivisions,county_subdivisions_2025.geojson,"Michigan: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 1580 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_26_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),1580,
states/mi/municipalities,municipal_boundaries_2025.geojson,Michigan: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 745 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_26_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),745,
states/mi/school_districts,elementary_school_districts_2025.geojson,Michigan: elementary school district boundaries (TIGER ELSD). 27 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/ELSD/tl_2025_26_elsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),27,
states/mi/school_districts,unified_school_districts_2025.geojson,Michigan: unified (K-12) school district boundaries (TIGER UNSD). 514 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_26_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),514,
states/mi/state_house_districts,state_house_districts_2025.geojson,"Michigan: State house of representatives districts, TIGER SLDL (lower chamber). 110 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDL/tl_2025_26_sldl.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,110,
states/mi/state_senate_districts,state_senate_districts_2025.geojson,"Michigan: State senate districts, TIGER SLDU (upper chamber). 38 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDU/tl_2025_26_sldu.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,38,
states/mn/county_subdivisions,county_subdivisions_2025.geojson,"Minnesota: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 2760 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_27_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),2760,
states/mn/municipalities,municipal_boundaries_2025.geojson,Minnesota: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 916 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_27_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),916,
states/mn/school_districts,community_school_districts_2025.geojson,Minnesota: community school district boundaries (TIGER SCSD). 1 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SCSD/tl_2025_27_scsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),1,
states/mn/school_districts,elementary_school_districts_2025.geojson,Minnesota: elementary school district boundaries (TIGER ELSD). 7 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/ELSD/tl_2025_27_elsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),7,
states/mn/school_districts,unified_school_districts_2025.geojson,Minnesota: unified (K-12) school district boundaries (TIGER UNSD). 323 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_27_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),323,
states/mn/state_house_districts,state_house_districts_2025.geojson,"Minnesota: State house of representatives districts, TIGER SLDL (lower chamber). 134 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDL/tl_2025_27_sldl.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,134,
states/mn/state_senate_districts,state_senate_districts_2025.geojson,"Minnesota: State senate districts, TIGER SLDU (upper chamber). 67 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDU/tl_2025_27_sldu.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,67,
states/mo/county_subdivisions,county_subdivisions_2025.geojson,"Missouri: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 1394 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_29_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),1394,
states/mo/municipalities,municipal_boundaries_2025.geojson,Missouri: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 1081 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_29_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),1081,
states/mo/school_districts,elementary_school_districts_2025.geojson,Missouri: elementary school district boundaries (TIGER ELSD). 71 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/ELSD/tl_2025_29_elsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),71,
states/mo/school_districts,unified_school_districts_2025.geojson,Missouri: unified (K-12) school district boundaries (TIGER UNSD). 445 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_29_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),445,
states/mo/state_house_districts,state_house_districts_2025.geojson,"Missouri: State house of representatives districts, TIGER SLDL (lower chamber). 163 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDL/tl_2025_29_sldl.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,163,
states/mo/state_senate_districts,state_senate_districts_2025.geojson,"Missouri: State senate districts, TIGER SLDU (upper chamber). 34 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDU/tl_2025_29_sldu.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,34,
states/mp/county_subdivisions,county_subdivisions_2025.geojson,"Northern Mariana Islands: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 12 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_69_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),12,
states/mp/municipalities,municipal_boundaries_2025.geojson,Northern Mariana Islands: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 135 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_69_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),135,
states/mp/school_districts,unified_school_districts_2025.geojson,Northern Mariana Islands: unified (K-12) school district boundaries (TIGER UNSD). 1 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_69_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),1,
states/ms/county_subdivisions,county_subdivisions_2025.geojson,"Mississippi: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 410 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_28_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),410,
states/ms/municipalities,municipal_boundaries_2025.geojson,Mississippi: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 427 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_28_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),427,
states/ms/school_districts,unified_school_districts_2025.geojson,Mississippi: unified (K-12) school district boundaries (TIGER UNSD). 137 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_28_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),137,
states/ms/state_house_districts,state_house_districts_2025.geojson,"Mississippi: State house of representatives districts, TIGER SLDL (lower chamber). 122 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDL/tl_2025_28_sldl.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,122,
states/ms/state_senate_districts,state_senate_districts_2025.geojson,"Mississippi: State senate districts, TIGER SLDU (upper chamber). 52 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDU/tl_2025_28_sldu.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,52,
states/mt/county_subdivisions,county_subdivisions_2025.geojson,"Montana: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 194 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_30_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),194,
states/mt/municipalities,municipal_boundaries_2025.geojson,Montana: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 497 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_30_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),497,
states/mt/school_districts,community_school_districts_2025.geojson,Montana: community school district boundaries (TIGER SCSD). 98 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SCSD/tl_2025_30_scsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),98,
states/mt/school_districts,elementary_school_districts_2025.geojson,Montana: elementary school district boundaries (TIGER ELSD). 235 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/ELSD/tl_2025_30_elsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),235,
states/mt/school_districts,unified_school_districts_2025.geojson,Montana: unified (K-12) school district boundaries (TIGER UNSD). 64 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_30_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),64,
states/mt/state_house_districts,state_house_districts_2025.geojson,"Montana: State house of representatives districts, TIGER SLDL (lower chamber). 100 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDL/tl_2025_30_sldl.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,100,
states/mt/state_senate_districts,state_senate_districts_2025.geojson,"Montana: State senate districts, TIGER SLDU (upper chamber). 50 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDU/tl_2025_30_sldu.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,50,
states/nc/county_subdivisions,county_subdivisions_2025.geojson,"North Carolina: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 1041 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_37_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),1041,
states/nc/municipalities,municipal_boundaries_2025.geojson,North Carolina: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 776 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_37_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),776,
states/nc/school_districts,unified_school_districts_2025.geojson,North Carolina: unified (K-12) school district boundaries (TIGER UNSD). 118 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_37_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),118,
states/nc/state_house_districts,state_house_districts_2025.geojson,"North Carolina: State house of representatives districts, TIGER SLDL (lower chamber). 120 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDL/tl_2025_37_sldl.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,120,
states/nc/state_senate_districts,state_senate_districts_2025.geojson,"North Carolina: State senate districts, TIGER SLDU (upper chamber). 50 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDU/tl_2025_37_sldu.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,50,
states/nd/county_subdivisions,county_subdivisions_2025.geojson,"North Dakota: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 1761 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_38_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),1761,
states/nd/municipalities,municipal_boundaries_2025.geojson,North Dakota: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 406 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_38_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),406,
states/nd/school_districts,elementary_school_districts_2025.geojson,North Dakota: elementary school district boundaries (TIGER ELSD). 20 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/ELSD/tl_2025_38_elsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),20,
states/nd/school_districts,unified_school_districts_2025.geojson,North Dakota: unified (K-12) school district boundaries (TIGER UNSD). 148 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_38_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),148,
states/nd/state_house_districts,state_house_districts_2025.geojson,"North Dakota: State house of representatives districts, TIGER SLDL (lower chamber). 48 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDL/tl_2025_38_sldl.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,48,
states/nd/state_senate_districts,state_senate_districts_2025.geojson,"North Dakota: State senate districts, TIGER SLDU (upper chamber). 47 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDU/tl_2025_38_sldu.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,47,
states/ne/county_subdivisions,county_subdivisions_2025.geojson,"Nebraska: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 1182 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_31_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),1182,
states/ne/municipalities,municipal_boundaries_2025.geojson,Nebraska: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 593 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_31_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),593,
states/ne/school_districts,unified_school_districts_2025.geojson,Nebraska: unified (K-12) school district boundaries (TIGER UNSD). 245 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_31_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),245,
states/ne/state_legislature_districts,state_legislature_districts_2025.geojson,"Nebraska: Nebraska unicameral legislature districts, TIGER SLDU (upper chamber). 49 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDU/tl_2025_31_sldu.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,49,
states/nh/county_subdivisions,county_subdivisions_2025.geojson,"New Hampshire: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 260 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_33_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),260,
states/nh/municipalities,municipal_boundaries_2025.geojson,New Hampshire: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 100 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_33_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),100,
states/nh/school_districts,community_school_districts_2025.geojson,New Hampshire: community school district boundaries (TIGER SCSD). 9 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SCSD/tl_2025_33_scsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),9,
states/nh/school_districts,elementary_school_districts_2025.geojson,New Hampshire: elementary school district boundaries (TIGER ELSD). 88 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/ELSD/tl_2025_33_elsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),88,
states/nh/school_districts,unified_school_districts_2025.geojson,New Hampshire: unified (K-12) school district boundaries (TIGER UNSD). 83 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/UNSD/tl_2025_33_unsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),83,
states/nh/state_house_districts,state_house_districts_2025.geojson,"New Hampshire: State house of representatives districts, TIGER SLDL (lower chamber). 165 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDL/tl_2025_33_sldl.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,165,
states/nh/state_senate_districts,state_senate_districts_2025.geojson,"New Hampshire: State senate districts, TIGER SLDU (upper chamber). 25 districts.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SLDU/tl_2025_33_sldu.zip,2025 (TIGER 2025 release),2022 cycle (effective 2024); verify per-state vintage,25,
states/nj/county_subdivisions,county_subdivisions_2025.geojson,"New Jersey: county subdivisions (civil townships, towns, municipalities) boundaries (TIGER COUSUB). Context layer — does NOT include council or commission district lines. 569 features.",U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/COUSUB/tl_2025_34_cousub.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),569,
states/nj/municipalities,municipal_boundaries_2025.geojson,New Jersey: incorporated places (cities/towns) boundaries (TIGER PLACE). Context layer — does NOT include council or commission district lines. 700 features.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/PLACE/tl_2025_34_place.zip,2025 (TIGER 2025 release),n/a (administrative boundaries),700,
states/nj/school_districts,community_school_districts_2025.geojson,New Jersey: community school district boundaries (TIGER SCSD). 45 districts.,U.S. Census Bureau TIGER/Line,https://www2.census.gov/geo/tiger/TIGER2025/SCSD/tl_2025_34_scsd.zip,2025 (TIGER 2025 release),unknown (school district boundaries; Census vintage 2025),45,
